date,sp500_ret
2013-10-24,0.003382
2013-10-25,0.004538
2013-10-28,0.001408
2013-10-29,0.005638
2013-10-30,-0.004725
2013-10-31,-0.003629
2013-11-01,0.002812
2013-11-04,0.003611
2013-11-05,-0.002643
2013-11-06,0.004945
2013-11-07,-0.013047
2013-11-08,0.013383
2013-11-11,0.000868
2013-11-12,-0.00221
2013-11-13,0.008407
2013-11-14,0.005032
2013-11-15,0.004164
2013-11-18,-0.003615
2013-11-19,-0.001941
2013-11-20,-0.003578
2013-11-21,0.008144
2013-11-22,0.005076
2013-11-25,-0.00113
2013-11-26,0.000306
2013-11-27,0.002797
2013-11-29,-0.000704
2013-12-02,-0.002526
2013-12-03,-0.003192
2013-12-04,-0.001071
2013-12-05,-0.004448
2013-12-06,0.011338
2013-12-09,0.001871
2013-12-10,-0.003295
2013-12-11,-0.011122
2013-12-12,-0.003588
2013-12-13,-6.3e-05
2013-12-16,0.006329
2013-12-17,-0.003089
2013-12-18,0.016609
2013-12-19,-0.000494
2013-12-20,0.005032
2013-12-23,0.005333
